User,,,,,,
user_id,username,password,email,phone,role,
#U001,Maximum,Max12345,john@example.com,812345678,admin,
#U002,Wafer,EZ1234,jane@example.com,898765432,admin,
#U003,KhonE3,GotE3,gotjitag@gmail.com,623456789,buyer,
#U004,BlazeThorn  ,X7T2F9R  ,jacksonblue@gmail.com  ,991234567,seller,
#U005,MysticVoyager  ,P4M6C8X  ,lilyrose87@gmail.com  ,834567890,buyer,
#U006,CrimsonAce  ,L5W2R9T  ,michaeljames32@gmail.com  ,619876543,buyer  ,
#U007,IronSentinel  ,N6F3Y7M  ,sophiadark45@gmail.com  ,843216789,seller  ,
#U008,FrostBane  ,K8X9P2T  ,brandonx19@gmail.com  ,965432101,buyer  ,
#U009,PhantomRift  ,R7L5M6X  ,emilygrace77@gmail.com  ,822223333,seller  ,
#U010,LunarAegis  ,F3Y9C2T  ,oliver12345@gmail.com  ,911114444,seller  ,
#U011,ShadowStride  ,V4N6P7R  ,sarahjones78@gmail.com  ,865556666,buyer  ,
#U012,EchoKnight  ,M5T9W3L  ,nathanblack76@gmail.com  ,637894561,buyer  ,
#U013,ArcanePulse  ,K3P7R9X  ,kaitlynwhite99@gmail.com  ,986543210,seller  ,
#U014,NovaSpire  ,X6F4Y8R  ,davidjones27@gmail.com  ,661234321,seller  ,
#U015,ThunderVeil  ,T7M9C5W  ,hannahblue21@gmail.com  ,899876543,buyer  ,
#U016,SkyboundWolf  ,R3P5L9T  ,danielmorris56@gmail.com  ,644567890,buyer  ,
#U017,NightHarbinger  ,N7F6Y3X  ,lucygreen88@gmail.com  ,973216548,seller  ,
#U018,EmberVanguard  ,M8W9T2F  ,christopher45@gmail.com  ,856781234,buyer  ,
#U019,VoidWarden  ,K4R9X7P  ,graceevans23@gmail.com  ,678901234,seller  ,
#U020,GlimmerSpecter  ,L5T8C9M  ,jacobbrown34@gmail.com  ,811119999,buyer  ,
#U021,StarbornFang  ,N2R7F3Y  ,avaallen67@gmail.com  ,922228888,buyer  ,
#U022,CelestialHawk  ,X6M4P9R  ,olivernash92@gmail.com  ,884447777,seller  ,
#U023,ShatterWing  ,T3Y7W9L  ,matthewgreen71@gmail.com  ,659990001,seller  ,
#U024,SapphireBolt  ,R8M5X9C  ,scarlettmoore56@gmail.com  ,938887777,buyer  ,
#U025,SilentGlide  ,N6T4P7F  ,jacksonwhite42@gmail.com  ,863216549,buyer  ,
#U026,NebulaHunter  ,K2Y9L5W  ,emilybrown11@gmail.com  ,998884444,seller  ,
#U027,EternalDrift  ,X7R3F9M  ,noahwilliams68@gmail.com  ,826665555,seller  ,
#U028,EmberLynx  ,T5W8P6L  ,sofiawest21@gmail.com  ,893336666,buyer  ,
#U029,ChaosHarpoon  ,M9Y4T2R  ,matthewking45@gmail.com  ,615552222,seller  ,
#U030,StarlitBane  ,K7X3F6P  ,harperallen34@gmail.com  ,847778888,buyer  ,
#U031,SolarPhantom  ,L9N8C3M  ,graceharper89@gmail.com  ,950001111,seller  ,
#U032,ArcticHalo  ,X4T5Y7F  ,danielscott23@gmail.com  ,909998888,buyer  ,
#U033,ThunderClaw  ,R3P6M9T  ,sophiataylor11@gmail.com  ,876541230,buyer  ,
#U034,FrostEmber  ,N2F5R7X  ,williamking56@gmail.com  ,649997777,seller  ,
#U035,AshenWarden  ,K6T8P9L  ,lucydean34@gmail.com  ,895553333,seller  ,
#U036,MysticRanger  ,L7Y5R4C  ,emilyjones67@gmail.com  ,662221111,buyer  ,
